,Heartbeat Contra,2,cbal petr cbal petr | nbal nswg nswg nswg | fmr6 pswg pswg | crl3 cbal pcal,0,http://dancevideos.childgrove.org/contra/contra-modern/163-heartbeat-contra
,Roll in the Hey,1,crl4 nswg nswg | crl3 pswg pswg | llfb fchn | hhey hhey,0,http://dancevideos.childgrove.org/contra/contra-modern/141-roll-in-the-hey
,Momma Loo's Reel,3,crl4 nswg nswg | llfb far6 | pbal pswg pswg pswg pswg | fchn crr4,0,http://dancevideos.childgrove.org/contra/contra-modern/195-momma-loos-reel
,Pie Time,2,crl4 nswg nswg | llfb fchn | hhey pswg pswg | crl3 pbal pcal,0,http://katyheine.com/#pie
,Sweet as Honey,2,crr3 fchn | far4 nswg nswg nswg | lal6 pswg | crl3 cbal pcal,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Duck Soup,1,crr3 fdo4 | llrl romr lllr roml | lal4 pswg pswg pswg | llfb fchn,0,http://dancevideos.childgrove.org/contra/contra-modern/274-duck-soupby-david-kirchner-duple-improper
,Sunday Night at the Monday Club,1,crr3 lal6 | nbal nswg nswg nswg | crl3 pswg pswg | rlth fchn,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Goldie the Guy Cat,3,crr4 fal6 | pbal pswg pswg pswg | lal6 nswg nswg | rlth crl4,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Busybodies,1,crr4 lal6 | hhey pswg pswg | crl3 nswg nswg | llfb fchn,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Betwixt and Between,2,far6 pswg pswg | crl3 nswg nswg | lal6 pswg pswg | cbal petr cbal pcal,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Little Bird Speak,2,lar6 pal6 | prom madf | pbal pswg pswg pswg | cbal petr cbal pcal,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,The Carousel,3,llfb fal6 | hhey hhey | pbal pswg pswg pswg | crl3 nswg nswg,0,http://dancevideos.childgrove.org/contra/contra-modern/192-the-carousel
,Spring Fever,1,llfb nswg nswg | lal6 pswg pswg | crl4 lstr lstr lstr lstr | prom fchn,0,http://dancevideos.childgrove.org/contra/contra-modern/104-spring-fever
,United We Dance,0,llrl romr lllr roml | nbal nswg nswg nswg | crl3 pswg pswg | fchn lstr lstr lstr lstr,0,http://dancevideos.childgrove.org/contra/contra-modern/107-united-we-dance
,Chicken on a Leash,0,nal6 far6 | pbal pswg pswg pswg | lal6 nswg nswg | cbal petr cbal petr,0,http://dancevideos.childgrove.org/contra/contra-modern/291-chicken-on-a-leash-by-john-coffman-duple-improper
,Delphiniums and Daisies,0,nal6 fchn | hhey hhey | pswg pswg pswg pswg | crl3 nar6,0,http://dancevideos.childgrove.org/contra/contra-modern/227-delphiniums-and-daises
,Ain't Dancing Grand?,0,nal6 lar6 | pbal pswg pswg pswg | rlth fchn | cbal petr cbal petr,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Where is the Beef?,3,nal6 llrl romr | lllr roml nswg nswg | crl3 pswg pswg | fchn fmr4,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Something About Sue,3,nal6 prom | far6 pswg pswg | fchn hhey | nbal nswg nswg nswg,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Happy Hare,3,nal6 prom | fchn hhey | pbal pswg pswg pswg | crl3 nswg nswg,0,http://dancevideos.childgrove.org/contra/contra-modern/455-happy-hare-by-john-coffman-duple-improper
,Chain the Hey,3,nal6 prom | fchn hhey | pbal pswg pswg pswg | crl3 nswg nswg,0,http://dancevideos.childgrove.org/contra/contra-modern/194-chain-the-hey
,Bashful Bachelor,3,nar6 hhey | nmrm nswg nswg | crl3 pswg pswg | llfb lal6,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Requiem for the Hive,3,nar6 hhey | nmrm nswg nswg | lal6 pswg pswg | fchn crr4,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Field House Mouse,0,nar6 hhey | nmrm nswg nswg | lal6 pswg pswg | fchn lstr lstr lstr lstr,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
